id;year_published;ISBN;SISO;AVI;category_youth;EAN_wrong;ISSN_wrong;ZIZO;literarytype;SISO_libraries;title;type;category_music;language;keywords_youth;ISSN;author_type;series_title;publisher;age;keywords_local;category_adults;pages;keyword_adults;series_edition;ISBN_wrong;keywords_libraries;author_lastname;EAN;author_firstname;keyword_youth
2^1000412;cop. 2008;9789002231933;929;;;;;TWNNJA;non-fictie;;1951;DVD-Video;;Nederlands;;;;;Standaard;;;;;;;;;;;;
2^1000413;cop. 2008;9789002231940;929;;;;;TWNNJA;non-fictie;;1952;DVD-Video;;Nederlands;;;;;Standaard;;;;;;;;;;;;
2^1000414;cop. 2009;9789049950552;;;;;;;fictie;;De lift op piazza Vittorio;Boek;;Nederlands;;;auteur;;Mistral;;;;176 p.;Multiculturele samenleving;;;;Lakhous;;Amara;
2^1000415;2008;9789044612943;;;;;;;fictie;;Donkere dagen;Boek;;Nederlands;;;auteur;;Prometheus;;;Columns;135 p.;Winter;;;;Bril;;Martin;
2^1000416;2009-;;620;;;;;;;;PC Gameplay;DVD-ROM;;Nederlands;;;;;PC Gameplay;;;;;;;;;;;;
2^1000422;cop. 2008;;399.7;;;;;GEOOOO;non-fictie;;Secrets of war;DVD-Video;;Engels;;;;;Just Entertainment;;;;;;;;;;8717344736046;;
2^1000423;s.a.;;;;;;;;fictie;;The Stan Laurel and Oliver Hardy collection;DVD-Video;;Engels;;;acteur;;Lime-Lights pictures;;;Humoristische films;;;;;;Laurel;5412012149311;Stan;
2^1000424;2008;;928.3;;;;;TWWOAO;non-fictie;;Het Ardennenoffensief;DVD-Video;;Engels;;;;;TDM;;;;;;;;;;8717496852328;;
2^1000425;cop. 2009;;619.14;;;;;SSBAVL;non-fictie;;Zidane;DVD-Video;;Frans;;;;;A-Film;;;;;;;;;;8716777926154;;
2^1000426;cop. 2009;9789085107149;573.4;;;;;WTBIEV;non-fictie;;Darwin onder de loep;DVD-Video;;Engels;;;;;House of Knowledge;;;;;;;;;;8715664064269;;
2^1000427;cop. 2001;;928.4;;;;;TWWOOA;non-fictie;;Pearl Harbor;DVD-Video;;Engels;;;;;TDM;;;;;;;;;;8717496851802;;
2^1000429;cop. 2008;;Duitsland 945.3;;;;;TWWODR;non-fictie;;Das Dritte Reich privat;DVD-Video;;Duits;;;;;Just Entertainment;;;;;;;;;;8717344733151;;
2^1000430;2006;9780801892912;;;;;;;;;Breeding Bin LadensBreeding Bin Ladens;Boek;;Engels;;;auteur;;The Johns Hopkins University Press;;;;223 p.;;;;Islam en Europa;Shore;;Zachary;
2^1000438;2009;;;;;;;;;;Complete Crumb edition;CD;;Onbekend;;;componist;Variaties voor orkest, 1959;Bridge;;;;;;;;;Crumb;90404925320;George;
2^1000439;2005;;;;;;;;fictie;;L;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Korber;;Serge;
